reviews,cleaned_review,sentiment,sentiment_category,categories
"✅ Trip Verified |  5 hours in a cramped single aisle aircraft, no inflight entertainment. In economy there is no free catering other than a bottle of water a packet of crisps and a minimal selection of food items for purchase.",    hours in a cramped single aisle aircraft no inflight entertainment in economy there is no free catering other than a bottle of water a packet of crisps and a minimal selection of food items for purchase,-0.12410714285714286,Negative,['Other']
"✅ Trip Verified |  Having been promised help to find a hotel room after an outgoing flight from Heathrow was running very late and my hotel would be closed, I boarded the plane on this basis. I was subsequently dumped at Barcelona airport at 0038 to sleep the night on the floor. There was no help at there to find a hotel. I have MS and can't walk without help, BA did nothing, their partners Iberia did nothing. At about 3 am some kind people helped me to an more secure area and toilet and got me some sandwiches. I lost my holiday, my hotel booking, and my music course. BA insist it's not their fault it's the hotels for closing. I would not have got on the plane had I known. I found out I could go to arbitration. BA now say they will withdraw the 'offer' of expenses if I do. Their policy of refusing all compensation for what would have been a dreadful experience for any passenger, is bad enough. For someone who is not mobile, it seems to have ditched the specific responsibilities of Duty of Care and towards Disabled Passengers. So for people with disabilities it's just not worth the risk of travelling with BA.",   having been promised help to find a hotel room after an outgoing flight from heathrow was running very late and my hotel would be closed i boarded the plane on this basis i was subsequently dumped at barcelona airport at  to sleep the night on the floor there was no help at there to find a hotel i have ms and cant walk without help ba did nothing their partners iberia did nothing at about  am some kind people helped me to an more secure area and toilet and got me some sandwiches i lost my holiday my hotel booking and my music course ba insist its not their fault its the hotels for closing i would not have got on the plane had i known i found out i could go to arbitration ba now say they will withdraw the offer of expenses if i do their policy of refusing all compensation for what would have been a dreadful experience for any passenger is bad enough for someone who is not mobile it seems to have ditched the specific responsibilities of duty of care and towards disabled passengers so for people with disabilities its just not worth the risk of travelling with ba,-0.08256410256410254,Negative,['Other']
"✅ Trip Verified |  I am a business class customer. British Airways cancelled my return flight and chose an alternative flight with 3 stops. After I complained, they changed the date. When I told them the date would not work, they attempted to charge me additional $5,000 for the change. I submitted a complaint and have not heard anything.  If you try to reach out, no chance.",   i am a business class customer british airways cancelled my return flight and chose an alternative flight with  stops after i complained they changed the date when i told them the date would not work they attempted to charge me additional  for the change i submitted a complaint and have not heard anything  if you try to reach out no chance,-0.19999999999999998,Negative,['Other']
✅ Trip Verified | Despite BA's promise to credit double tier points for a holiday booked on their website I have received no additional points and my four email communications (including to the Chief Executive) have remained unanswered. Do not be taken in by this marketing con - they just want you to book a holiday and then do not follow up on their promises. Some things just do not change at BA.,  despite bas promise to credit double tier points for a holiday booked on their website i have received no additional points and my four email communications including to the chief executive have remained unanswered do not be taken in by this marketing con  they just want you to book a holiday and then do not follow up on their promises some things just do not change at ba,-0.05,Negative,['Other']
"Not Verified |  Was going from Belfast to London but they cancelled the flight, and we didn’t even know it was cancelled. Someone behind us had to tell us. we had a connecting flight and spent a lot of money on our holiday. the refund takes ages. Overall not happy at all. ",   was going from belfast to london but they cancelled the flight and we didn’t even know it was cancelled someone behind us had to tell us we had a connecting flight and spent a lot of money on our holiday the refund takes ages overall not happy at all ,-0.225,Negative,['Other']
✅ Trip Verified |  Another dreadful mediocre experience with BA to Malaga. This time boarding was by bus and to a remote stand with no Aircon. Then on flight the the Wi-Fi was erratic and guests couldn’t order food or drinks. Then the card payment system didn’t work so we gave up on ordering. Finally at Malaga we were held up and not allowed to leave the plane as the bags had to come off first in case 'we' caused the plane to go unbalanced? Really? It’s all one excuse after another with BA these days.,   another dreadful mediocre experience with ba to malaga this time boarding was by bus and to a remote stand with no aircon then on flight the the wifi was erratic and guests couldn’t order food or drinks then the card payment system didn’t work so we gave up on ordering finally at malaga we were held up and not allowed to leave the plane as the bags had to come off first in case we caused the plane to go unbalanced really it’s all one excuse after another with ba these days,-0.17142857142857146,Negative,['Other']
Not Verified |  We had a trip with 4 flights included. All 4 flights were delayed. The worst with 2h15min. Also one flight was cancelled and we were rebooked to a 4h earlier flight loosing 4h of our short vacation. No explanation or compensation was given for the cancelled flights or delays. I expected a lot better as I have earlier used BA with good results. This was a really bad experience and I will avoid using BA for any further travels.,   we had a trip with  flights included all  flights were delayed the worst with hmin also one flight was cancelled and we were rebooked to a h earlier flight loosing h of our short vacation no explanation or compensation was given for the cancelled flights or delays i expected a lot better as i have earlier used ba with good results this was a really bad experience and i will avoid using ba for any further travels,-0.06666666666666667,Negative,['Other']
"✅ Trip Verified |  Absolutely bad experience with "" British Airways."" I have two bookings with them for the past two years. both were cancelled. The first one, I understand, "" Covid-19"" unexpected. But today I got another surprise. My flight to Antalya in May 2022 was cancelled and no explanation is given. I will definitely not book ever again with them.",   absolutely bad experience with  british airways i have two bookings with them for the past two years both were cancelled the first one i understand  covid unexpected but today i got another surprise my flight to antalya in may  was cancelled and no explanation is given i will definitely not book ever again with them,-0.09999999999999998,Negative,['Other']
Not Verified |  The food was awful. An over night early morning flight started with the offer of a terrible chicken wrap thing. Terrible. Then went to a Traditional Breakfast with disgusting sausage and inedible hash brown's. Such rubbish on BA.,   the food was awful an over night early morning flight started with the offer of a terrible chicken wrap thing terrible then went to a traditional breakfast with disgusting sausage and inedible hash browns such rubbish on ba,-0.5625,Negative,['Other']
"✅ Trip Verified | British Airways is taking reservations and then cancelling flights without giving any reasons. We had further plans that all needed to be cancelled because of the flights. BA did nothing to ease the process and offered absolutely no explanation of why the flight was cancelled, I am not going to travel on BA again and may not travel again this year at all.",  british airways is taking reservations and then cancelling flights without giving any reasons we had further plans that all needed to be cancelled because of the flights ba did nothing to ease the process and offered absolutely no explanation of why the flight was cancelled i am not going to travel on ba again and may not travel again this year at all,-0.03333333333333333,Negative,['Other']
"✅ Trip Verified |  No refund for flights cancelled 14 months ago but provided a ticket voucher valid until 30 April 2022. Tickets bought on Edreams on June 16, 2020 for a flight on July 7, 2020, from Geneva to São Paulo through London (British Airways), round trip. The LHR-GRU flight was cancelled without any explanation. I contacted both Edreams and BA a number of times in the last 14 months but they did not refund the 461 Euros that I paid.",   no refund for flights cancelled  months ago but provided a ticket voucher valid until  april  tickets bought on edreams on june   for a flight on july   from geneva to são paulo through london british airways round trip the lhrgru flight was cancelled without any explanation i contacted both edreams and ba a number of times in the last  months but they did not refund the  euros that i paid,-0.06666666666666667,Negative,['Other']
✅ Trip Verified |  They cancelled a flight I booked three months ago for some operational problem at a time where the prices are off the roof. British Airways could not give me any alternatives other than refund or a voucher. ,   they cancelled a flight i booked three months ago for some operational problem at a time where the prices are off the roof british airways could not give me any alternatives other than refund or a voucher ,-0.0625,Negative,['Other']
Not Verified |  4 cancellations for 1 month! Applying vouchers only to find out they don't work after new cancellation! Terrible stammers. Do not recommend to anyone in Covid restrictions.,    cancellations for  month applying vouchers only to find out they dont work after new cancellation terrible stammers do not recommend to anyone in covid restrictions,-0.2878787878787879,Negative,['Other']
"✅ Trip Verified |  This company is withholding my money after cancelling my flight due to the pandemic and have issued me a voucher. Even though I called to explain why a voucher is useless since we are under a travel bane. Initially, they had said no refunds, the only thing to do was get a voucher. After we had ordered they announce you can get refund if flight is cancelled and you don’t have voucher. ",   this company is withholding my money after cancelling my flight due to the pandemic and have issued me a voucher even though i called to explain why a voucher is useless since we are under a travel bane initially they had said no refunds the only thing to do was get a voucher after we had ordered they announce you can get refund if flight is cancelled and you don’t have voucher ,-0.15625,Negative,['Other']
✅ Trip Verified |  Flight BA 282 on 11 February was delayed 173 mins due to mechanical in London and so I misconnected at London Heathrow and arrived 3 hrs 25 mins late. I requested compensation and was refused - for three e-mails they told me my flight to London was delayed 173 mins (under the 180 mins floor) and I continued to reply that I did not fly to London but to Paris and arrived 205 mins late. Then they started writing that I was able to make my original connexion which is untrue. I don't know whether to fault their greed at persisting in this lie or their incompetence.,   flight ba  on  february was delayed  mins due to mechanical in london and so i misconnected at london heathrow and arrived  hrs  mins late i requested compensation and was refused  for three emails they told me my flight to london was delayed  mins under the  mins floor and i continued to reply that i did not fly to london but to paris and arrived  mins late then they started writing that i was able to make my original connexion which is untrue i dont know whether to fault their greed at persisting in this lie or their incompetence,-0.041666666666666664,Negative,['Other']
"✅ Trip Verified |  I flew from Sydney to London to visit my seriously ill mother. The second leg, from Singapore to London was with British Airways. My return flight from London to Sydney was with British Airways, leaving 23 February. On 20 February it became clear that Mum did not have long to live. I contacted BA, who said I should be able to change my return date, and asked me to send medical documentation, which I did, with an explanatory email. Sadly Mum passed away very early on the morning of 22 February. I contacted BA again the next day. They said because I had booked through Webjet, I needed to contact them. I phoned them, they said they would contact BA. No follow up from either. When I phoned Webjet again, they said still no word from BA. When I phoned BA again, they said they couldn't help. At this point I gave up and booked with Qantas, paying for another flight. BA's complete lack of compassion (apart from a couple of platitudes), and lack of interest in helping me in any way, astounded me. Needless to say, I will never use British Airways again.",   i flew from sydney to london to visit my seriously ill mother the second leg from singapore to london was with british airways my return flight from london to sydney was with british airways leaving  february on  february it became clear that mum did not have long to live i contacted ba who said i should be able to change my return date and asked me to send medical documentation which i did with an explanatory email sadly mum passed away very early on the morning of  february i contacted ba again the next day they said because i had booked through webjet i needed to contact them i phoned them they said they would contact ba no follow up from either when i phoned webjet again they said still no word from ba when i phoned ba again they said they couldnt help at this point i gave up and booked with qantas paying for another flight bas complete lack of compassion apart from a couple of platitudes and lack of interest in helping me in any way astounded me needless to say i will never use british airways again,-0.04897727272727273,Negative,['Other']
✅ Trip Verified |  London to Bangalore. The flight from Bangalore to London on 10 November 2019 was delayed by 4 hours that resulted in me missing the connection flight. My return from London to Bangalore was initially delayed by 1.5 hrs. We were assigned a boarding gate and after waiting at the gate for 30 mins announcement was made the flight was delayed 4hrs 27mins due to maintenance. ,   london to bangalore the flight from bangalore to london on  november  was delayed by  hours that resulted in me missing the connection flight my return from london to bangalore was initially delayed by  hrs we were assigned a boarding gate and after waiting at the gate for  mins announcement was made the flight was delayed hrs mins due to maintenance ,-0.10833333333333334,Negative,['Other']
"Not Verified |  London Gatwick to Salzburg with British Airways. Worst customer experience I have ever had after cancelled flights due to strike action, no response and when we did it was weeks between getting answers only to be told it's not their fault and would not pay towards cost of changing flights back home.",   london gatwick to salzburg with british airways worst customer experience i have ever had after cancelled flights due to strike action no response and when we did it was weeks between getting answers only to be told its not their fault and would not pay towards cost of changing flights back home,-0.1708333333333333,Negative,['Other']
✅ Trip Verified | Phoenix to Tel Aviv via London. The return from London to Phoenix was a nightmare. I want everyone to know that I sent a complaint 3 times but there is no one to talk to. This is not something that I am used to.,  phoenix to tel aviv via london the return from london to phoenix was a nightmare i want everyone to know that i sent a complaint  times but there is no one to talk to this is not something that i am used to,-0.3,Negative,['Other']
"✅ Trip Verified |  Gatwick to Glasgow. Awful experience. Our flight arrived over 2 hours late at 8.50pm, so late our car rental company was closed and we were stuck at the airport without our car. We had to pay for a taxi to our hotel and back to the airport the next day which was really expensive. Our new car hire was three times the price since it was last minute. British Airways would not help compensate because they said it wasn’t their fault.",   gatwick to glasgow awful experience our flight arrived over  hours late at pm so late our car rental company was closed and we were stuck at the airport without our car we had to pay for a taxi to our hotel and back to the airport the next day which was really expensive our new car hire was three times the price since it was last minute british airways would not help compensate because they said it wasn’t their fault,-0.2063636363636364,Negative,['Other']
"✅ Trip Verified | Madrid to London Heathrow. This was my second trip Madrid to London on British Airways since May. On this trip like the previous the plane broke down, and we waited 2.5 hours on the plane for it to be repaired whilst the temperature outside was 42 degrees. The cabin crew director offered passengers the opportunity to purchase water and other cold drinks from the bar. Only BA could try to make money out of one of its technical failures. I then waited another hour to pick up my suitcase. As I'm a silver card holder, I could access their business lounge in Madrid. I regret using it. Fortunately, this was my last ever trip on BA.",  madrid to london heathrow this was my second trip madrid to london on british airways since may on this trip like the previous the plane broke down and we waited  hours on the plane for it to be repaired whilst the temperature outside was  degrees the cabin crew director offered passengers the opportunity to purchase water and other cold drinks from the bar only ba could try to make money out of one of its technical failures i then waited another hour to pick up my suitcase as im a silver card holder i could access their business lounge in madrid i regret using it fortunately this was my last ever trip on ba,-0.05883838383838382,Negative,['Other']
"✅ Trip Verified |  Buenos Aires to London. I wish to thank the crew that was so nice to me while I was terribly sick. Wish I knew their names! They gave me medicine, a blanket and caressed my back while I was crying from the stomach ache. Forever grateful.",   buenos aires to london i wish to thank the crew that was so nice to me while i was terribly sick wish i knew their names they gave me medicine a blanket and caressed my back while i was crying from the stomach ache forever grateful,-0.07857142857142858,Negative,['Other']
